1,72832373,1,DEVUELTO,18/11/2024,1/12/2024,8/12/2023,1/12/2024,2,74935134,74935134
2,72832373,6,DEVUELTO,20/11/2024,20/11/2024,27/11/2024,28/11/2024,3,74935134,74935134
3,72400384,7,DEVUELTO,1/12/2024,1/12/2024,8/12/2024,1/12/2024,5,74935134,74935134
4,72400384,8,DEVUELTO,1/12/2024,1/12/2024,8/12/2024,1/12/2024,2,74935134,74935134
5,81234567,13,INCIDENCIA,1/12/2024,1/12/2024,8/12/2024,0/0/0,2,74935134,74935134
6,81234567,16,DEVUELTO,1/12/2024,1/12/2024,8/12/2024,1/12/2024,1,74935134,74935134
7,81234567,15,INCIDENCIA,1/12/2024,1/12/2024,8/12/2024,0/0/0,4,74935134,74935134
9,81234567,2,INCIDENCIA,1/12/2024,2/12/2024,9/12/2024,0/0/0,1,74935134,74935134
10,81234567,9,PRESTADO,2/12/2024,2/12/2024,9/12/2024,0/0/0,-1,74935134,-1
10,72832373,10,SOLICITADO,2/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
11,72832373,9,INCIDENCIA,2/12/2024,2/12/2024,9/12/2024,0/0/0,5,74935134,74935134
12,72832373,4,PRESTADO,2/12/2024,2/12/2024,9/12/2024,0/0/0,-1,74935134,-1
13,72193729,41,INCIDENCIA,5/10/2024,5/10/2024,5/11/2024,0/0/0,-1,74935134,74935134
14,72193729,40,PRESTADO,4/10/2024,4/10/2024,4/11/2024,0/0/0,-1,74935134,-1
15,21498126,50,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
16,21498126,43,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
17,21498126,37,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
18,72647844,43,DEVUELTO,4/12/2024,4/12/2024,11/12/2024,4/12/2024,-1,74935134,74935134
19,72647844,37,INCIDENCIA,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,74935134
20,72647844,29,INCIDENCIA,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,74935134
21,24172510,23,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
22,24172510,12,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
23,24172510,34,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
24,51367314,29,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
25,51367314,24,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
26,51367314,22,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
27,48690537,29,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
28,48690537,23,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
29,48690537,21,SOLICITADO,4/12/2024,0/0/0,0/0/0,0/0/0,-1,-1,-1
30,10642465,23,PRESTADO,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,-1
31,10642465,32,INCIDENCIA,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,74935134
32,10642465,43,INCIDENCIA,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,74935134
33,72647822,21,DEVUELTO,4/12/2024,4/12/2024,11/12/2024,4/12/2024,3,74935134,74935134
34,72647822,43,INCIDENCIA,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,74935134
35,72647822,21,DEVUELTO,4/12/2024,4/12/2024,11/12/2024,4/12/2024,-1,74935134,74935134
36,72193729,39,PRESTADO,4/12/2024,4/12/2024,11/12/2024,0/0/0,-1,74935134,-1
