1,0,72400384,fabri,fabri00,Fabrizio,Mantari,M,fmantari@gmail.com,977781726,ACTIVA,0,4/11/2024,4/11/2025,0
1,0,83456789,pedro,pedro00,Pedro,Rojas,M,pedro@gmail.com,967812345,INACTIVA,0,00/00/0000,00/00/0000,0
1,0,82345678,sofia,sofia00,Sofia,Gomez,F,sofia@gmail.com,956781234,ACTIVA,0,4/11/2024,4/11/2025,0
1,0,81234567,jose,jose00,Jose,Luna,M,jose@gmail.com,945678123,INACTIVA,0,00/00/0000,00/00/0000,0
1,0,78901234,laura,laura00,Laura,Garcia,F,laura@gmail.com,923456789,INACTIVA,0,00/00/00,00/00/00,0
1,0,76543210,carlos,carlos00,Carlos,Perez,M,carlos@gmail.com,912345678,ESTANDAR,0,1/12/2024,1/12/2025,0
1,0,74125896,maria,maria00,Maria,Flores,F,maria@gmail.com,934567890,ACTIVA,0,19/11/2024,19/11/2025,0
1,2,78457896,andremelc,andre00,Andre,Melendez,M,andre@gmail.com,997629981,ACTIVA,0,00/00/00,00/00/00,0
1,1,74935134,miguel,miguel00,Miguel,Giron,M,miguel@gmail.com,9878547891,ACTIVA,0,00/00/00,00/00/00,0
1,0,72832373,daminin,nick00,Nick,Salcedo,F,nick@gmail.com,993238234,VIP,4,3/12/2024,10/12/2025,1
1,0,72193729,andremelendez,andre00,Andre Ivan,Melendez Cava,M,andre.melendezc@unmsm.edu.pe,997629981,ESTANDAR,2,4/12/2024,4/12/2025,0
1,0,72647844,SuycoR,suyco00,Pedro Jesus,Suyco Rivera,M,suycoriverap@gmail.com,957199045,PREMIUM,3,4/12/2024,4/12/2025,0
1,0,24172510,lnqibdfe,gfjr11ky,Carlos,Gomez,M,carlos.gomez@gmail.com,847215772,PREMIUM,3,4/12/2024,4/12/2025,0
1,0,51367314,m3750ofe,bebpxn9u,Pedro,Rodriguez,M,pedro.rodriguez@gmail.com,339911322,PREMIUM,3,4/12/2024,4/12/2025,0
1,0,05537253,Ana,Ana00,Ana,Martinez,F,ana.martinez@gmail.com,223606031,VIP,0,4/12/2024,4/12/2025,0
1,0,48690537,htm8zdbd,dftp9icp,Carlos,Garcia,F,carlos.garcia@gmail.com,633264745,PREMIUM,3,4/12/2024,4/12/2025,0
1,0,10642465,david00,david00,David,Sánchez,M,david.sánchez@gmail.com,748215587,PREMIUM,3,4/12/2024,4/12/2025,0
1,0,31839446,nc75cjsq,3dx856ld,Carlos,Rodriguez,F,carlos.rodriguez@gmail.com,088982913,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,29580397,yj91fa5p,an8jesa0,Carlos,Perez,F,carlos.perez@gmail.com,732771549,ESTANDAR,0,4/12/2024,4/12/2025,0
1,0,08486640,gzhu5jk8,sgfmbrle,Antonio,Rodriguez,F,antonio.rodriguez@gmail.com,115044428,ESTANDAR,0,4/12/2024,4/12/2025,0
1,0,02234398,5j7fv5mz,h001b0lv,Juan,Hernández,M,juan.hernández@gmail.com,752954480,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,84686620,eo1a4csc,zp4lvlj0,Laura,Perez,M,laura.perez@gmail.com,406712342,VIP,0,4/12/2024,4/12/2025,0
1,0,11756345,opbn2fc1,n6nivub5,Carlos,López,F,carlos.lópez@gmail.com,467791358,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,81638936,tv64gtyd,6xs9kado,Jose,Garcia,M,jose.garcia@gmail.com,846880641,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,98757405,15aiw33a,kmw6dwfb,Laura,Sánchez,F,laura.sánchez@gmail.com,761743540,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,00823394,Maria,Maria00,Maria,Perez,M,maria.perez@gmail.com,143910527,PREMIUM,0,4/12/2024,4/12/2025,0
1,0,21498126,d8b5ffg5,yich9xjo,Juan,Hernández,F,juan.hernández@gmail.com,830036518,VIP,3,4/12/2024,4/12/2025,0
