1,74935134,81234567,15,ROBO,Le robaron yendo a la universidad,2/12/2024
2,74935134,81234567,2,EXTRAVIADO,Lo perdio en el parque,2/12/2024
3,74935134,81234567,13,HURTO,En el corredor,2/12/2024
4,74935134,81234567,9,ROBO,En la universidad,2/12/2024
5,74935134,81234567,2,EXTRAVIADO,En la iglesia,2/12/2024
6,74935134,72832373,9,ROBO,En la plaza,2/12/2024
7,74935134,72647822,43,OTROS,Su perro lo destruyo,4/12/2024
8,74935134,72647844,29,OTROS,robado en su casa,4/12/2024
9,74935134,72647844,37,HURTO,robado en su casa,4/12/2024
10,74935134,10642465,32,EXTRAVIADO,Se le perdio en la universidad,4/12/2024
11,74935134,10642465,43,HURTO,Le quitaron sus pertenencias en puerta 7,4/12/2024
